"establishment_id","establishment_name","minimum_inspections_peryear","lat","lon","score","Freq","type"
"10348511","ROYAL CAKE HOUSE",2,43.8232997,-79.2527366,68,392,"Bakery"
"10397361","TULIPA - CROISSANTERIA SALAO DE CHA",2,43.6493622,-79.4260639,56,392,"Bakery"
"10348962","PAPA JOE'S BAKERY",3,43.7712082,-79.1871122,100,392,"Bakery"
"10217513","BRAR PAKWAN",2,43.7380853,-79.5659208,100,392,"Bakery"
"10317747","WHAT A BAGEL",2,43.7290406,-79.4317967,62,392,"Bakery"
"10300580","INTERNATIONAL BAKERY",2,43.7024901,-79.4533181,90,392,"Bakery"
"10348153","PAVILLION PASTRIES",2,43.6881936,-79.3017009,99,392,"Bakery"
"9390357","BUN KING BAKERY",2,43.6908471,-79.2900763,47,392,"Bakery"
"10437005","GOURMET BAKER EAST",2,43.624037,-79.5543426,100,392,"Bakery"
"9001850","BREAD DELIGHT",2,43.7186029,-79.3154841,100,392,"Bakery"
"10344276","ALMINZ KAKANIN",2,43.7365512,-79.4379033,94,392,"Bakery"
"10398895","PILLY'S BAKERY",2,43.7751824,-79.2379146,99,392,"Bakery"
"10428540","GOURMAZING INC.",2,43.6291823,-79.5254501,100,392,"Bakery"
"9005226","FAHMEE BAKERY & JAMAICAN FOODS",2,43.8101121,-79.27987,100,392,"Bakery"
"10227133","ATHENS PASTERIES",2,43.7044464,-79.3529759,100,392,"Bakery"
"10313821","PASTRY DELIGHTS / EINI & CO.",2,43.7632512,-79.2720566,98,392,"Bakery"
"9424718","C'EST SI BON PATTISENIE",2,43.8265506,-79.2517908,100,392,"Bakery"
"10303949","SWEET ESCAPE",2,43.6507179,-79.3580246,100,392,"Bakery"
"9017059","VENEZIA BAKERY LTD",3,43.6467772,-79.4198909,100,392,"Bakery"
"10449503","SWEET FLOUR BAKE SHOP",2,43.67094,-79.4644311,100,392,"Bakery"
"9393290","CHIU KEI FOOD COMPANY",2,43.7875487,-79.2696197,100,392,"Bakery"
"10388774","THE BEST BAKERY",2,43.7039828,-79.5043979,100,392,"Bakery"
