address,full_address,lat,lon
"373 OAKWOOD AVE","373 Oakwood Avenue, Toronto, ON M6E 2W1, Canada",43.6877101,-79.4388026
"33 ELM ST","33 Elm Street, Toronto, ON M5G 1M7, Canada",43.6575116,-79.3833184
"3059 PHARMACY AVE","3059 Pharmacy Avenue, Scarborough, ON M1W 2S5, Canada",43.79618809999999,-79.3270271
"655 DIXON RD","655 Dixon Road, Toronto, ON M2N, Canada",43.6899798,-79.5773627
"1616 GERRARD ST E","1616 Gerrard Street East, Toronto, ON M4L 2A5, Canada",43.67286660000001,-79.31975349999999
"2847 LAWRENCE AVE E","2847 Lawrence Avenue East, Toronto, ON M1P 2T8, Canada",43.7536139,-79.25470779999999
"426 ELLESMERE RD","426 Ellesmere Road, Toronto, ON M1R, Canada",43.76130819999999,-79.30051000000002
"783 DANFORTH AVE","783 Danforth Avenue, Toronto, ON M4J 1L2, Canada",43.6794216,-79.34172889999999
"5555 EGLINTON AVE W","5555 Eglinton Avenue West, Toronto, ON M9C 5K5, Canada",43.648461,-79.6051527
"3423 LAKE SHORE BLVD W","3423 Lake Shore Boulevard West, Etobicoke, ON M8W 1N2, Canada",43.5954407,-79.5286939
"1144 ALBION RD","1144 Albion Road, Toronto, ON M9V 1A8, Canada",43.7376243,-79.567212
"3057 LAKE SHORE BLVD W","3057 Lake Shore Boulevard West, Etobicoke, ON M8V 3G6, Canada",43.5997069,-79.5100052
"2560 FINCH AVE W","2560 Finch Avenue West, Toronto, ON M9L 2B7, Canada",43.7481484,-79.5608891
"1530 ALBION RD","1530 Albion Road, Centre, Toronto, ON M9V, Canada",43.74150179999999,-79.5837615
"4664 YONGE ST","4664 Yonge Street, Toronto, ON M2N 5M1, Canada",43.7581818,-79.4101931
"219 OSSINGTON AVE","219 Ossington Avenue, Toronto, ON M6J 2Z7, Canada",43.64884410000001,-79.4205826
"93 FRONT ST E","93 Front Street East, Toronto, ON M5E 1C3, Canada",43.6490516,-79.3717741
"1446 QUEEN ST W","1446 Queen Street West, Toronto, ON M6K 1M1, Canada",43.6408296,-79.4359368
"3001 MARKHAM RD","3001 Markham Road, Toronto, ON M1X 1L6, Canada",43.8285786,-79.2491479
"3056 DON MILLS RD","3056 Don Mills Road East, Toronto, ON M2J 3B6, Canada",43.7861967,-79.3515713
"2151 WESTON RD","2151 Weston Road, York, ON M9N 1X7, Canada",43.7032064,-79.52454159999999
"50 EDDYSTONE AVE","50 Eddystone Avenue, Toronto, ON M3N 2H7, Canada",43.7485783,-79.51840039999999
"669 BLOOR ST W","669 Bloor Street West, Toronto, ON M6G 1L1, Canada",43.663895,-79.4158349
"333 RONCESVALLES AVE","333 Roncesvalles Avenue, Toronto, ON M6R 2M8, Canada",43.6492215,-79.4500309
"1871 O'CONNOR DR","1871 O'Connor Drive, Toronto, ON M4A, Canada",43.72186380000001,-79.3038617
"380 COLLEGE ST","380 College Street, Toronto, ON M5T 2N9, Canada",43.6571055,-79.4050701
"119 YORKVILLE AVE","119 Yorkville Avenue, Toronto, ON M5R 1B9, Canada",43.6707171,-79.3929712
"2372 BLOOR ST W","2372 Bloor Street West, Toronto, ON M6S 3R2, Canada",43.649989,-79.482036
"501 ALLIANCE AVE","501 Alliance Avenue, Toronto, ON M6N 2J1, Canada",43.6766313,-79.4883938
"1648 QUEEN ST W","1648 Queen Street West, Toronto, ON M6R 1B2, Canada",43.6394185,-79.4430601
"3772 BATHURST ST","3772 Bathurst Street, Toronto, ON M3H 3M5, Canada",43.7379026,-79.434478
"2425 YONGE ST","2425 Yonge Street, Toronto, ON M4P 2H5, Canada",43.710635,-79.399102
"109 MC CAUL ST","109 McCaul Street, Toronto, ON M5T, Canada",43.6538155,-79.3911538
"5112 DUNDAS ST W","5112 Dundas Street West, Toronto, ON M9A 1B9, Canada",43.6446424,-79.5328585
"383 SPADINA AVE","383 Spadina Avenue, Toronto, ON M5T, Canada",43.6563397,-79.3991376
"1085 BATHURST ST","1085 Bathurst Street, Toronto, ON M5R 3G8, Canada",43.6727498,-79.41409019999999
"1544 WARDEN AVE","1544 Warden Avenue, Toronto, ON M1R 2S8, Canada",43.7633474,-79.30131530000001
"2394 BLOOR ST W","2394 Bloor Street West, Toronto, ON M6S 1P5, Canada",43.6498405,-79.4827088
"262 DUPONT ST","262 Dupont Street, Toronto, ON M5R 2T8, Canada",43.6750597,-79.40665489999999
"535 BLOOR ST W","535 Bloor Street West, Toronto, ON M5S 1Y5, Canada",43.6653095,-79.40972699999999
"360 HULLMAR DR","360 Hullmar Drive, Toronto, ON M3N 2H5, Canada",43.7733775,-79.5252263
"5236 DUNDAS ST W","5236 Dundas Street West, Toronto, ON M9B 6M1, Canada",43.639347,-79.5379951
"50 DYNAMIC DR","50 Dynamic Drive, Toronto, ON M1V 4C3, Canada",43.819579,-79.2485277
"1093 BATHURST ST","1093 Bathurst Street, Toronto, ON M5R 3G8, Canada",43.6729763,-79.4141824
"845 QUEEN ST W","845 Queen Street West, Toronto, ON M6J 1E9, Canada",43.645848,-79.41024980000002
"450 THE WEST MALL","450 The West Mall, Toronto, ON M9C 1E9, Canada",43.6479854,-79.5681744
"1800 AVENUE RD","1800 Avenue Road, North York, ON M5M 3Z5, Canada",43.7303497,-79.4191961
"3905 CHESSWOOD DR","3905 Chesswood Drive, Toronto, ON M3J 2B8, Canada",43.7577796,-79.4755733
"525 MOUNT PLEASANT RD","525 Mount Pleasant Road, Toronto, ON M4S 1J8, Canada",43.7021498,-79.3874566
"215 CARLINGVIEW DR","215 Carlingview Drive, Toronto, ON M9W 5E8, Canada",43.6842335,-79.5943594
"1646 VICTORIA PARK AVE","1646 Victoria Park Avenue, Toronto, ON M1R 1P4, Canada",43.7310163,-79.3054141
"204 JANE ST","204 Jane Street, Toronto, ON M6S 3Y8, Canada",43.6541721,-79.4864703
